_id,company_id,company_name,company_type,business_type_id,business_category,business_type,registered_capital,total_income,net_profit,total_assets,equity,liability,total_expense,debt_ratio,equity_ratio,debt_to_income_ratio,debt_to_equity_ratio,roa,roe,profit_margin,district
64b75d11aa2d4f22592dbb48,1.06E+11,คูล่า ฮอสปิตอลลิตี้ จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,106000000,22812991.22,-10648176.01,82551282,-133598281.2,216149563.2,33461167.23,2.618367128,-1.618367128,9.474845325,-1.617906767,-12.89886208,7.970294164,-46.67593086,เขตวัฒนา
64b75d11aa2d4f22592dbb49,1.06E+11,จตุจักร ออนไลน์ จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,1000000,861512.06,385411.46,2400767.99,2242094.7,158673.29,476100.6,0.066092721,0.933907279,0.184179999,0.070770111,16.05367372,17.18979399,44.73662969,เขตจตุจักร
64b75d11aa2d4f22592dbb4a,1.06E+11,จอมเทียน ฮอลิเดย์ จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,140000000,85617358.79,2201358.03,567511492,85462854.49,482048637.5,83416000.76,0.849407711,0.150592289,5.630267557,5.640446255,0.387896644,2.575806815,2.571158537,เขตวังทองหลาง
64b75d11aa2d4f22592dbb4b,1.06E+11,จันทร์ บีซีเอฟ จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,1000000,397146.72,-163445.42,806048.19,763943.79,42104.4,560592.14,0.052235587,0.947764413,0.106017242,0.055114526,-20.27737572,-21.39495368,-41.15492128,เขตสายไหม
64b75d11aa2d4f22592dbb4c,1.06E+11,จันทร์สมุทร จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,27000000,9195676.88,943717.73,39600616.86,-64452389.23,104053006.1,8251959.15,2.627560234,-1.627560234,11.31542653,-1.614416585,2.383088459,-1.464209072,10.26262386,เขตวัฒนา
64b75d11aa2d4f22592dbb4d,7.76E+11,จัสมิน แอสเซท จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,1000000,581269.62,-4322986.56,80942540.56,-49892951.47,130835492,4904256.18,1.616399623,-0.616399623,225.0857219,-2.62232416,-5.340809085,8.66452361,-743.7145193,เขตวัฒนา
64b75d11aa2d4f22592dbb4e,1.06E+11,จากึมซอง เรสเตอรอง จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,4000000,8787004.39,172689.42,3956450.28,352153.1,3604297.18,8614314.97,0.910992664,0.089007336,0.410184975,10.23502897,4.364756481,49.0381655,1.96528205,เขตตลิ่งชัน
64b75d11aa2d4f22592dbb4f,1.06E+11,จำนภา จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,100000,194441.17,-215452.8,218935057.7,-112872.33,219047930,409893.97,1.000515552,-0.000515552,1126.551183,-1940.66987,-0.098409456,190.8818574,-110.8061631,เขตบางรัก
64b75d11aa2d4f22592dbb50,1.06E+11,จิตตรงเรียลเอสเต็ด จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,105000000,2059792.12,-10272984.04,93379958.13,91534484.34,1845473.79,12332776.16,0.019763061,0.980236939,0.895951476,0.020161514,-11.00127291,-11.22307523,-498.7388747,เขตมีนบุรี
64b75d11aa2d4f22592dbb51,1.06E+11,จินดาทวี จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,900000,44171051.37,12578849.73,247554691,36695324.01,210859367,31592201.64,0.85176882,0.14823118,4.773700432,5.746218971,5.081240707,34.27916245,28.47758733,เขตบางรัก
